id1,id2,weight
1.1,root.n01,1
1.2,root.n01,1
2.1,1.1,1
2.2,1.1,1
2.3,1.2,1
2.4,1.2,1
3.1,2.1,1
3.2,2.1,1
3.3,2.2,1
3.4,2.2,1
3.5,2.3,1
3.6,2.3,1
3.7,2.4,1
3.8,2.4,1
4.1,3.1,1
4.2,3.1,1
4.3,3.2,1
4.4,3.2,1
4.5,3.3,1
4.6,3.3,1
4.7,3.4,1
4.8,3.4,1
4.9,3.5,1
4.10,3.5,1
4.11,3.6,1
4.12,3.6,1
4.13,3.7,1
4.14,3.7,1
4.15,3.8,1
4.16,3.8,1
5.1,4.1,1
5.2,4.1,1
5.3,4.2,1
5.4,4.2,1
5.5,4.3,1
5.6,4.3,1
5.7,4.4,1
5.8,4.4,1
5.9,4.5,1
5.10,4.5,1
5.11,4.6,1
5.12,4.6,1
5.13,4.7,1
5.14,4.7,1
5.15,4.8,1
5.16,4.8,1
5.17,4.9,1
5.18,4.9,1
5.19,4.10,1
5.20,4.10,1
5.21,4.11,1
5.22,4.11,1
5.23,4.12,1
5.24,4.12,1
5.25,4.13,1
5.26,4.13,1
5.27,4.14,1
5.28,4.14,1
5.29,4.15,1
5.30,4.15,1
5.31,4.16,1
5.32,4.16,1
chimpanzee.n01,5.1,1
shark.n01,5.1,1
mushroom.n01,5.2,1
orchid.n01,5.2,1
cup.n01,5.3,1
beaver.n01,5.3,1
tractor.n01,5.4,1
bus.n01,5.4,1
orange.n01,5.5,1
plate.n01,5.5,1
bee.n01,5.6,1
rocket.n01,5.6,1
lamp.n01,5.7,1
hamster.n01,5.7,1
streetcar.n01,5.8,1
mouse.n01,5.8,1
sweet_pepper.n01,5.9,1
woman.n01,5.9,1
tiger.n01,5.10,1
sunflower.n01,5.10,1
wardrobe.n01,5.11,1
rose.n01,5.11,1
wolf.n01,5.12,1
pickup_truck.n01,5.12,1
crocodile.n01,5.13,1
camel.n01,5.13,1
couch.n01,5.14,1
telephone.n01,5.14,1
chair.n01,5.15,1
lion.n01,5.15,1
boy.n01,5.16,1
flatfish.n01,5.16,1
bottle.n01,5.17,1
bear.n01,5.17,1
beetle.n01,5.18,1
leopard.n01,5.18,1
train.n01,5.19,1
tulip.n01,5.19,1
cattle.n01,5.20,1
castle.n01,5.20,1
caterpillar.n01,5.21,1
oak.n01,5.21,1
television.n01,5.22,1
dinosaur.n01,5.22,1
dolphin.n01,5.23,1
cockroach.n01,5.23,1
forest.n01,5.24,1
porcupine.n01,5.24,1
aquarium_fish.n01,5.25,1
crab.n01,5.25,1
butterfly.n01,5.26,1
keyboard.n01,5.26,1
rabbit.n01,5.27,1
ray.n01,5.27,1
willow.n01,5.28,1
pine.n01,5.28,1
snail.n01,5.29,1
spider.n01,5.29,1
can.n01,5.30,1
seal.n01,5.30,1
plain.n01,5.31,1
lizard.n01,5.31,1
table.n01,5.32,1
bicycle.n01,5.32,1
mountain.n01,5.1,1
motorcycle.n01,5.2,1
squirrel.n01,5.3,1
tank.n01,5.4,1
maple.n01,5.5,1
shrew.n01,5.6,1
turtle.n01,5.7,1
skunk.n01,5.8,1
apple.n01,5.9,1
kangaroo.n01,5.10,1
baby.n01,5.11,1
trout.n01,5.12,1
elephant.n01,5.13,1
bed.n01,5.14,1
raccoon.n01,5.15,1
skyscraper.n01,5.16,1
otter.n01,5.17,1
possum.n01,5.18,1
palm.n01,5.19,1
cloud.n01,5.20,1
road.n01,5.21,1
house.n01,5.22,1
lawn_mower.n01,5.23,1
whale.n01,5.24,1
girl.n01,5.25,1
worm.n01,5.26,1
snake.n01,5.27,1
poppy.n01,5.28,1
sea.n01,5.29,1
man.n01,5.30,1
fox.n01,5.31,1
bowl.n01,5.32,1
clock.n01,5.1,1
wardrobe.n01,5.2,1
bridge.n01,5.3,1
pear.n01,5.4,1
lobster.n01,5.5,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,6.64,
